#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-secrets.bin|  3.65e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.69002300|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.96853747|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.13036918|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.65662356|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.89537917|  PASSED  
        diehard_opso|   0|   2097152|     100|0.53999743|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.55622383|  PASSED  
         diehard_dna|   0|   2097152|     100|0.58309759|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.81743130|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.17420501|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.04820412|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14164277|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.26872844|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.77895669|  PASSED  
        diehard_sums|   0|       100|     100|0.22917338|  PASSED  
        diehard_runs|   0|    100000|     100|0.46107314|  PASSED  
        diehard_runs|   0|    100000|     100|0.93072559|  PASSED  
       diehard_craps|   0|    200000|     100|0.99730409|   WEAK   
       diehard_craps|   0|    200000|     100|0.28775202|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04691894|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19723066|  PASSED  
         sts_monobit|   1|    100000|     100|0.31225860|  PASSED  
            sts_runs|   2|    100000|     100|0.81797773|  PASSED  
          sts_serial|   1|    100000|     100|0.71140965|  PASSED  
          sts_serial|   2|    100000|     100|0.70116508|  PASSED  
          sts_serial|   3|    100000|     100|0.95162273|  PASSED  
          sts_serial|   3|    100000|     100|0.68317584|  PASSED  
          sts_serial|   4|    100000|     100|0.96780487|  PASSED  
          sts_serial|   4|    100000|     100|0.96362485|  PASSED  
          sts_serial|   5|    100000|     100|0.74277546|  PASSED  
          sts_serial|   5|    100000|     100|0.37363752|  PASSED  
          sts_serial|   6|    100000|     100|0.48186944|  PASSED  
          sts_serial|   6|    100000|     100|0.73043987|  PASSED  
          sts_serial|   7|    100000|     100|0.66712597|  PASSED  
          sts_serial|   7|    100000|     100|0.75162221|  PASSED  
          sts_serial|   8|    100000|     100|0.20566447|  PASSED  
          sts_serial|   8|    100000|     100|0.15275685|  PASSED  
          sts_serial|   9|    100000|     100|0.58943449|  PASSED  
          sts_serial|   9|    100000|     100|0.86777728|  PASSED  
